"MEASURE","Measure","REGIONTYPE","Geography Level","ASGS_2016","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","12003","Strathfield - Burwood - Ashfield","A","Annual","2016","2016",159133,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","120031390","Ashfield","A","Annual","2016","2016",25655,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","120031391","Burwood - Croydon","A","Annual","2016","2016",25879,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","120031392","Canterbury (North) - Ashbury","A","Annual","2016","2016",10982,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","120031393","Croydon Park - Enfield","A","Annual","2016","2016",17862,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","120031394","Dulwich Hill - Lewisham","A","Annual","2016","2016",17636,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","120031395","Haberfield - Summer Hill","A","Annual","2016","2016",14129,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","120031396","Homebush","A","Annual","2016","2016",17086,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","120031575","Strathfield","A","Annual","2016","2016",26212,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","120031576","Strathfield South","A","Annual","2016","2016",3692,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","121","Sydney - North Sydney and Hornsby","A","Annual","2016","2016",424906,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","12101","Chatswood - Lane Cove","A","Annual","2016","2016",117824,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","121011398","Chatswood (East) - Artarmon","A","Annual","2016","2016",29996,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","121011399","Chatswood (West) - Lane Cove North","A","Annual","2016","2016",22065,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","121011400","Lane Cove - Greenwich","A","Annual","2016","2016",27960,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","121011401","St Leonards - Naremburn","A","Annual","2016","2016",11065,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","121011402","Willoughby - Castle Cove - Northbridge","A","Annual","2016","2016",26738,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","12102","Hornsby","A","Annual","2016","2016",83456,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","121021403","Asquith - Mount Colah","A","Annual","2016","2016",18895,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","121021404","Berowra - Brooklyn - Cowan","A","Annual","2016","2016",12045,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","121021406","Normanhurst - Thornleigh - Westleigh","A","Annual","2016","2016",19141,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","121021577","Hornsby - East","A","Annual","2016","2016",12312,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","121021578","Hornsby - West","A","Annual","2016","2016",11084,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","121021579","Waitara - Wahroonga (West)","A","Annual","2016","2016",9979,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","12103","Ku-ring-gai","A","Annual","2016","2016",123474,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","121031407","Gordon - Killara","A","Annual","2016","2016",22297,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","121031408","Lindfield - Roseville","A","Annual","2016","2016",24098,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","121031409","Pymble","A","Annual","2016","2016",17056,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","121031410","St Ives","A","Annual","2016","2016",21512,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","121031411","Turramurra","A","Annual","2016","2016",19860,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","121031412","Wahroonga (East) - Warrawee","A","Annual","2016","2016",18651,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","12104","North Sydney - Mosman","A","Annual","2016","2016",100152,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","121041413","Cremorne - Cammeray","A","Annual","2016","2016",20281,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","121041414","Crows Nest - Waverton","A","Annual","2016","2016",19125,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","121041415","Mosman","A","Annual","2016","2016",30215,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","121041416","Neutral Bay - Kirribilli","A","Annual","2016","2016",19052,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","121041417","North Sydney - Lavender Bay","A","Annual","2016","2016",11479,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","122","Sydney - Northern Beaches","A","Annual","2016","2016",266344,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","12201","Manly","A","Annual","2016","2016",44994,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","122011418","Balgowlah - Clontarf - Seaforth","A","Annual","2016","2016",21325,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","122011419","Manly - Fairlight","A","Annual","2016","2016",23669,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","12202","Pittwater","A","Annual","2016","2016",63504,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","122021420","Avalon - Palm Beach","A","Annual","2016","2016",13109,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","122021421","Bayview - Elanora Heights","A","Annual","2016","2016",11289,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","122021422","Newport - Bilgola","A","Annual","2016","2016",13927,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","122021423","Warriewood - Mona Vale","A","Annual","2016","2016",25179,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","12203","Warringah","A","Annual","2016","2016",157846,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","122031424","Beacon Hill - Narraweena","A","Annual","2016","2016",14428,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","122031425","Cromer","A","Annual","2016","2016",7761,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","122031426","Dee Why - North Curl Curl","A","Annual","2016","2016",26354,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","122031427","Forestville - Killarney Heights","A","Annual","2016","2016",13326,,
